# SOP2 Instructions
0	S_ADD_U32	Add two unsigned integers with carry-out. D.u32 = S0.u32 + S1.u32; SCC = S0.u32 + S1.u32 >= 0x100000000ULL ? 1 : 0.
1	S_SUB_U32	Subtract the second unsigned integer from the first with carry-out. D.u = S0.u - S1.u; SCC = (S1.u > S0.u ? 1 : 0). // unsigned overflow or carry-out for S_SUBB_U32.
2	S_ADD_I32	Add two signed integers with carry-out. This opcode is not suitable for use with S_ADDC_U32 for implementing 64-bit operations. D.i = S0.i + S1.i; SCC = (S0.u[31] == S1.u[31] && S0.u[31] != D.u[31]). // signed overflow.
3	S_SUB_I32	Subtract the second signed integer from the first with carry-out. This opcode is not suitable for use with S_SUBB_U32 for implementing 64-bit operations. D.i = S0.i - S1.i; SCC = (S0.u[31] != S1.u[31] && S0.u[31] != D.u[31]). // signed overflow.
4	S_ADDC_U32	Add two unsigned integers with carry-in and carry-out. D.u32 = S0.u32 + S1.u32 + SCC; SCC = S0.u32 + S1.u32 + SCC >= 0x100000000ULL ? 1 : 0.
5	S_SUBB_U32	Subtract the second unsigned integer from the first with carry-in and carry-out. D.u = S0.u - S1.u - SCC; SCC = (S1.u + SCC > S0.u ? 1 : 0). // unsigned overflow.
6	S_MIN_I32	Minimum of two signed integers. D.i = (S0.i < S1.i) ? S0.i : S1.i; SCC = (S0.i < S1.i).
7	S_MIN_U32	Minimum of two unsigned integers. D.u = (S0.u < S1.u) ? S0.u : S1.u; SCC = (S0.u < S1.u).
8	S_MAX_I32	Maximum of two signed integers. D.i = (S0.i > S1.i) ? S0.i : S1.i; SCC = (S0.i > S1.i).
9	S_MAX_U32	Maximum of two unsigned integers. D.u = (S0.u > S1.u) ? S0.u : S1.u; SCC = (S0.u > S1.u).
10	S_CSELECT_B32	Conditional select based on scalar condition code. D.u = SCC ? S0.u : S1.u.
11	S_CSELECT_B64	Conditional select base on scalar condition code. D.u64 = SCC ? S0.u64 : S1.u64.
14	S_AND_B32	Bitwise AND. D = S0 & S1; SCC = (D != 0).
15	S_AND_B64	Bitwise AND. D = S0 & S1; SCC = (D != 0).
16	S_OR_B32	Bitwise OR. D = S0 | S1; SCC = (D != 0).
17	S_OR_B64	Bitwise OR. D = S0 | S1; SCC = (D != 0).
18	S_XOR_B32	Bitwise XOR. D = S0 ^ S1; SCC = (D != 0).
19	S_XOR_B64	Bitwise XOR. D = S0 ^ S1; SCC = (D != 0).
20	S_ANDN2_B32	Bitwise ANDN2. D = S0 & ~S1; SCC = (D != 0).
21	S_ANDN2_B64	Bitwise ANDN2. D = S0 & ~S1; SCC = (D != 0).
22	S_ORN2_B32	Bitwise ORN2. D = S0 | ~S1; SCC = (D != 0).
23	S_ORN2_B64	Bitwise ORN2. D = S0 | ~S1; SCC = (D != 0).
24	S_NAND_B32	Bitwise NAND. D = ~(S0 & S1); SCC = (D != 0).
25	S_NAND_B64	Bitwise NAND. D = ~(S0 & S1); SCC = (D != 0).
